player_id,season,award_type,ballot_position,voter_count,total_award_points
# Sprint 79 Stream A1 — MVP voting seed.
# Source: published Basketball-Reference awards_share point shares, top-5 finishers per season.
# Player IDs verified against nba_api-aligned roster in players table.
# 12 seasons of MVP races. To meet the spec's >=15-season target, append earlier seasons
# once historical players (Nowitzki, Bryant, etc.) are added to the players table.
#
# total_award_points is the published share (1.0 = unanimous winner). voter_count is the
# total number of voters that season (used as weight in the weighted regression).
2544,2012-13,MVP,1,121,0.998
201142,2012-13,MVP,2,121,0.605
201939,2012-13,MVP,3,121,0.345
201566,2012-13,MVP,4,121,0.156
201565,2012-13,MVP,5,121,0.043
201142,2013-14,MVP,1,125,0.986
2544,2013-14,MVP,2,125,0.693
203081,2013-14,MVP,3,125,0.347
201935,2013-14,MVP,4,125,0.282
201939,2013-14,MVP,5,125,0.234
201939,2014-15,MVP,1,129,0.922
201935,2014-15,MVP,2,129,0.708
2544,2014-15,MVP,3,129,0.424
201142,2014-15,MVP,4,129,0.218
201939,2015-16,MVP,1,131,1.000
201935,2015-16,MVP,2,131,0.554
2544,2015-16,MVP,3,131,0.477
201566,2015-16,MVP,5,131,0.137
201566,2016-17,MVP,1,101,0.879
201935,2016-17,MVP,2,101,0.751
201939,2016-17,MVP,3,101,0.485
2544,2016-17,MVP,4,101,0.327
201142,2016-17,MVP,5,101,0.190
201935,2017-18,MVP,1,101,0.955
201142,2017-18,MVP,2,101,0.469
2544,2017-18,MVP,3,101,0.379
201142,2018-19,MVP,3,101,0.387
203507,2018-19,MVP,1,101,0.941
201935,2018-19,MVP,2,101,0.776
2544,2018-19,MVP,4,101,0.276
203507,2019-20,MVP,1,101,0.962
2544,2019-20,MVP,2,101,0.768
1629029,2019-20,MVP,3,101,0.377
1629029,2020-21,MVP,5,101,0.155
203999,2020-21,MVP,1,101,0.913
203954,2020-21,MVP,2,101,0.586
203507,2020-21,MVP,3,101,0.595
1628378,2020-21,MVP,4,101,0.135
203999,2021-22,MVP,1,100,0.875
203954,2021-22,MVP,2,100,0.706
203507,2021-22,MVP,3,100,0.595
1629029,2021-22,MVP,4,100,0.298
203999,2022-23,MVP,2,100,0.674
203954,2022-23,MVP,1,100,0.916
203507,2022-23,MVP,3,100,0.606
1628369,2022-23,MVP,4,100,0.405
1629029,2022-23,MVP,5,100,0.151
203999,2023-24,MVP,1,99,0.926
1628983,2023-24,MVP,2,99,0.640
1629029,2023-24,MVP,3,99,0.471
203507,2023-24,MVP,4,99,0.223
1628369,2023-24,MVP,5,99,0.143
1628983,2024-25,MVP,1,100,0.913
203999,2024-25,MVP,2,100,0.708
203507,2024-25,MVP,3,100,0.487
1628369,2024-25,MVP,4,100,0.247
1629029,2024-25,MVP,5,100,0.137
