draft_year,draft_pick,full_name,school,primary_position,nba_player_name,career_games,career_minutes,career_ppg,career_ws,all_star_selections,all_nba_selections,as_of_season
2018,1,Deandre Ayton,Arizona,C,Deandre Ayton,420,12500,16.7,28.0,0,0,2025
2018,2,Marvin Bagley III,Duke,F,Marvin Bagley III,290,7500,12.1,11.0,0,0,2025
2018,3,Luka Doncic,Real Madrid,G,Luka Doncic,430,15400,28.7,77.0,5,5,2025
2018,4,Jaren Jackson Jr.,Michigan State,F,Jaren Jackson Jr.,420,12200,16.6,42.0,1,2,2025
2018,5,Trae Young,Oklahoma,PG,Trae Young,470,16800,25.0,46.0,3,1,2025
2018,6,Mohamed Bamba,Texas,C,Mohamed Bamba,310,6400,6.4,6.0,0,0,2025
2018,7,Wendell Carter Jr.,Duke,C,Wendell Carter Jr.,360,9200,12.3,21.0,0,0,2025
2018,8,Collin Sexton,Alabama,PG,Collin Sexton,330,10800,18.2,23.0,0,0,2025
2018,9,Kevin Knox,Kentucky,F,Kevin Knox II,290,5700,5.6,2.0,0,0,2025
2018,10,Mikal Bridges,Villanova,F,Mikal Bridges,560,18900,15.0,42.0,0,0,2025
2018,11,Shai Gilgeous-Alexander,Kentucky,G,Shai Gilgeous-Alexander,470,16500,24.2,80.0,3,3,2025
2018,12,Miles Bridges,Michigan State,F,Miles Bridges,360,11400,16.8,22.0,0,0,2025
2018,13,Jerome Robinson,Boston College,G,Jerome Robinson,90,1200,5.4,0.0,0,0,2025
2018,14,Michael Porter Jr.,Missouri,F,Michael Porter Jr.,330,8900,15.9,28.0,0,0,2025
2018,15,Troy Brown Jr.,Oregon,F,Troy Brown Jr.,360,7200,6.8,7.0,0,0,2025
2018,16,Zhaire Smith,Texas Tech,G,Zhaire Smith,15,150,2.6,0.0,0,0,2025
2018,17,Donte DiVincenzo,Villanova,G,Donte DiVincenzo,410,11000,11.2,23.0,0,0,2025
2018,18,Lonnie Walker IV,Miami (FL),G,Lonnie Walker IV,320,7100,9.9,7.0,0,0,2025
2018,19,Kevin Huerter,Maryland,G,Kevin Huerter,440,13800,12.1,28.0,0,0,2025
2018,20,Josh Okogie,Georgia Tech,G,Josh Okogie,360,7300,6.4,5.0,0,0,2025
2018,21,Grayson Allen,Duke,G,Grayson Allen,440,12200,11.0,29.0,0,0,2025
2018,22,Chandler Hutchison,Boise State,F,Chandler Hutchison,80,1300,4.4,0.4,0,0,2025
2018,23,Aaron Holiday,UCLA,G,Aaron Holiday,420,8200,7.4,12.0,0,0,2025
2018,24,Anfernee Simons,IMG Academy,G,Anfernee Simons,410,11800,17.0,21.0,0,0,2025
2018,25,Moritz Wagner,Michigan,F,Moritz Wagner,350,6700,8.7,11.0,0,0,2025
2018,26,Landry Shamet,Wichita State,G,Landry Shamet,380,8400,8.8,13.0,0,0,2025
2018,27,Robert Williams III,Texas A&M,C,Robert Williams III,250,5800,8.5,28.0,0,0,2025
2018,28,Jacob Evans,Cincinnati,G,Jacob Evans,50,300,1.0,0.0,0,0,2025
2018,29,Dzanan Musa,Cedevita,F,Dzanan Musa,50,500,3.8,0.0,0,0,2025
2018,30,Omari Spellman,Villanova,F,Omari Spellman,100,1700,7.2,2.0,0,0,2025
2019,1,Zion Williamson,Duke,F,Zion Williamson,200,5800,24.4,26.0,2,0,2025
2019,2,Ja Morant,Murray State,PG,Ja Morant,300,9800,22.4,36.0,2,1,2025
2019,3,RJ Barrett,Duke,G,RJ Barrett,400,12500,18.6,25.0,0,0,2025
2019,4,De'Andre Hunter,Virginia,F,De'Andre Hunter,330,9600,14.5,18.0,0,0,2025
2019,5,Darius Garland,Vanderbilt,PG,Darius Garland,360,11400,18.4,30.0,1,0,2025
2020,1,Anthony Edwards,Georgia,G,Anthony Edwards,360,12200,24.4,38.0,2,1,2025
2020,2,James Wiseman,Memphis,C,James Wiseman,130,2300,8.7,3.0,0,0,2025
2020,3,LaMelo Ball,Illawarra,PG,LaMelo Ball,250,8200,20.0,18.0,1,0,2025
2021,1,Cade Cunningham,Oklahoma State,G,Cade Cunningham,220,7700,21.0,15.0,0,0,2025
2021,2,Jalen Green,G League Ignite,G,Jalen Green,280,8900,20.0,11.0,0,0,2025
2021,3,Evan Mobley,USC,F,Evan Mobley,290,9700,15.0,32.0,0,0,2025
2021,4,Scottie Barnes,Florida State,F,Scottie Barnes,280,9800,15.3,21.0,1,0,2025
2022,1,Paolo Banchero,Duke,F,Paolo Banchero,220,7900,22.3,15.0,1,0,2025
2022,2,Chet Holmgren,Gonzaga,F,Chet Holmgren,150,5200,17.4,18.0,0,0,2025
2022,3,Jabari Smith Jr.,Auburn,F,Jabari Smith Jr.,220,6500,12.5,9.0,0,0,2025
2023,1,Victor Wembanyama,Metropolitans 92,F,Victor Wembanyama,140,4700,22.0,15.0,1,1,2025
2023,2,Brandon Miller,Alabama,F,Brandon Miller,140,4500,17.5,5.0,0,0,2025
2023,3,Scoot Henderson,G League Ignite,PG,Scoot Henderson,140,3600,13.5,1.0,0,0,2025
2024,1,Zaccharie Risacher,JL Bourg-en-Bresse,F,Zaccharie Risacher,75,2100,12.0,2.0,0,0,2025
2024,2,Alex Sarr,Perth Wildcats,C,Alex Sarr,75,1900,12.0,1.0,0,0,2025
2024,3,Reed Sheppard,Kentucky,G,Reed Sheppard,55,800,4.0,0.5,0,0,2025
