external_id,full_name,age,height_inches,weight_lbs,primary_position,school,school_type,consensus_rank,ppg,rpg,apg,fg_pct,fg3_pct,ts_pct,usg_pct,wingspan,bbref_slug
ncaa-2026-001,AJ Dybantsa,18.7,81,220,SF,BYU,ncaa,1,19.1,5.8,3.0,0.478,0.366,0.591,28.2,85.0,
ncaa-2026-002,Darryn Peterson,19.0,77,195,SG,Kansas,ncaa,2,18.4,4.2,4.5,0.461,0.378,0.582,28.8,80.5,
ncaa-2026-003,Cameron Boozer,19.3,81,235,PF,Duke,ncaa,3,17.6,8.9,2.8,0.553,0.331,0.614,26.4,84.0,
ncaa-2026-004,Nate Ament,19.1,81,195,SF,Tennessee,ncaa,4,15.2,5.4,2.1,0.469,0.371,0.578,24.8,84.5,
ncaa-2026-005,Koa Peat,18.9,80,230,PF,Arizona,ncaa,5,14.8,7.6,2.0,0.524,0.332,0.584,23.6,84.0,
ncaa-2026-006,Caleb Wilson,18.7,81,210,PF,North Carolina,ncaa,6,14.4,7.2,2.4,0.506,0.342,0.576,22.8,85.0,
ncaa-2026-007,Mikel Brown Jr.,18.8,75,175,PG,Louisville,ncaa,7,16.1,3.4,6.8,0.442,0.388,0.564,26.9,78.5,
ncaa-2026-008,Cayden Boozer,19.3,76,195,PG,Duke,ncaa,8,12.6,3.6,6.2,0.438,0.371,0.551,22.4,80.0,
ncaa-2026-009,Yaxel Lendeborg,22.0,81,235,PF,Michigan,ncaa,9,17.6,11.4,4.2,0.518,0.354,0.592,24.1,85.5,
intl-2026-010,Karim López,19.0,80,200,SF,New Zealand Breakers,international,10,11.4,4.6,2.8,0.461,0.358,0.561,23.4,83.5,
ncaa-2026-011,Boogie Fland,19.1,74,175,PG,Florida,ncaa,11,15.8,2.8,5.4,0.421,0.378,0.549,25.6,77.0,
ncaa-2026-012,Labaron Philon,19.2,76,177,PG,Alabama,ncaa,12,14.6,3.4,5.8,0.451,0.371,0.568,24.2,79.0,
ncaa-2026-013,Tahaad Pettiford,19.4,73,175,PG,Auburn,ncaa,13,16.4,2.8,4.6,0.438,0.376,0.561,26.8,76.5,
ncaa-2026-014,Tounde Yessoufou,18.8,77,215,SF,Baylor,ncaa,14,15.6,5.8,2.2,0.471,0.341,0.572,25.4,81.0,
ncaa-2026-015,Hannes Steinbach,19.4,82,235,PF,Washington,ncaa,15,13.8,8.1,1.6,0.538,0.288,0.576,21.4,85.0,
ncaa-2026-016,Jasper Johnson,18.9,76,185,SG,Kentucky,ncaa,16,12.4,3.4,3.2,0.448,0.391,0.562,22.6,80.0,
ncaa-2026-017,Darius Acuff Jr.,18.7,74,180,PG,Arkansas,ncaa,17,14.2,3.1,5.6,0.431,0.368,0.554,25.1,77.5,
ncaa-2026-018,Meleek Thomas,18.6,76,185,SG,Arkansas,ncaa,18,13.8,3.6,3.4,0.444,0.371,0.561,24.4,79.5,
ncaa-2026-019,Braylon Mullins,19.1,77,195,SG,UConn,ncaa,19,12.8,3.2,2.8,0.461,0.412,0.598,21.8,80.5,
ncaa-2026-020,Chris Cenac Jr.,19.0,82,230,C,Houston,ncaa,20,11.4,8.6,1.4,0.582,0.000,0.608,19.8,87.0,
ncaa-2026-021,Mouhamed Sylla,19.1,82,230,C,Georgia Tech,ncaa,21,12.8,9.4,1.8,0.574,0.000,0.614,20.6,87.5,
ncaa-2026-022,Eric Reibe,19.5,84,240,C,UConn,ncaa,22,9.8,7.2,1.2,0.561,0.180,0.591,18.4,88.0,
ncaa-2026-023,Acaden Lewis,18.9,75,180,PG,Villanova,ncaa,23,13.6,3.2,5.4,0.431,0.362,0.544,24.8,77.0,
ncaa-2026-024,Nikolas Khamenia,19.0,80,215,SF,Duke,ncaa,24,11.8,5.4,2.4,0.452,0.358,0.561,21.2,82.0,
ncaa-2026-025,Shon Abaev,19.2,79,205,SF,Cincinnati,ncaa,25,13.4,4.6,2.6,0.441,0.354,0.551,23.8,82.5,
ncaa-2026-026,Brandon McCoy Jr.,19.4,75,180,PG,New Mexico,ncaa,26,15.2,3.4,5.8,0.434,0.358,0.551,25.4,78.0,
ncaa-2026-027,Patrick Ngongba II,19.1,82,240,C,Duke,ncaa,27,10.4,7.8,1.2,0.568,0.000,0.598,18.6,86.5,
ncaa-2026-028,Karter Knox,19.0,78,205,SF,Arkansas,ncaa,28,12.6,4.2,2.4,0.451,0.342,0.561,22.4,81.5,
ncaa-2026-029,Trent Sisley,19.2,81,210,PF,Indiana,ncaa,29,11.2,5.8,1.8,0.481,0.341,0.558,20.4,83.5,
intl-2026-030,Dash Daniels,18.6,77,190,SG,Melbourne United,international,30,8.6,3.2,2.4,0.428,0.341,0.521,21.6,80.0,
